id,project_id,content,completion,milestone,logged_by_id,date,remark,created_at
e30a03d3-1874-4a24-b1e3-18813e5d2096,3007f40a-6d69-454b-b524-cb6331ddbdf9,项目启动会召开，完成团队组建,90,项目启动会召开，完成,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-12-19,,2024-01-29
eb0f9cda-000b-4985-b196-a05c280351e1,3007f40a-6d69-454b-b524-cb6331ddbdf9,完成需求调研与方案设计评审,80,完成需求调研与方案设,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-12-14,,2023-07-23
6c413286-63e5-4923-88fa-6f7cbd82fd52,3007f40a-6d69-454b-b524-cb6331ddbdf9,完成系统开发与联调测试,100,完成系统开发与联调测,b766754e-983b-4b36-8462-e88db567ba4e,2024-04-07,,2024-05-06
0affcab2-72cd-4480-a265-215597e851de,3007f40a-6d69-454b-b524-cb6331ddbdf9,现场实施部署完成，初步验收通过,100,现场实施部署完成，初,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-11-21,,2024-02-24
bc1b249a-d7f1-42e0-9285-b4e459068d38,04d811c0-6df7-4478-94f1-571b207d0b24,项目启动会召开，完成团队组建,80,项目启动会召开，完成,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-10-23,,2023-11-05
0344db58-3ec9-462a-b93c-0ec208acae63,04d811c0-6df7-4478-94f1-571b207d0b24,完成需求调研与方案设计评审,100,完成需求调研与方案设,b766754e-983b-4b36-8462-e88db567ba4e,2023-12-08,,2024-03-30
78530e83-1bed-4ff5-b63b-67b51292473b,04d811c0-6df7-4478-94f1-571b207d0b24,完成系统开发与联调测试,90,完成系统开发与联调测,b766754e-983b-4b36-8462-e88db567ba4e,2023-05-12,,2023-09-12
bcda5b90-52d5-4ffc-9717-eb334b9cd71e,4c29a887-c44a-4ee3-a92a-9b8b956444b1,项目启动会召开，完成团队组建,80,项目启动会召开，完成,b766754e-983b-4b36-8462-e88db567ba4e,2023-06-04,,2023-08-19
171837d8-1ee7-49b6-bf74-ccc62fb1ca76,4c29a887-c44a-4ee3-a92a-9b8b956444b1,完成需求调研与方案设计评审,100,完成需求调研与方案设,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-10-13,,2024-01-31
1191656f-c2cb-45a9-a28e-c83c37624cd8,4c29a887-c44a-4ee3-a92a-9b8b956444b1,完成系统开发与联调测试,100,完成系统开发与联调测,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-11-19,,2023-12-15
3725f95f-cf6e-4b68-97e0-bde84bb4ae03,4c29a887-c44a-4ee3-a92a-9b8b956444b1,现场实施部署完成，初步验收通过,100,现场实施部署完成，初,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-05-21,,2024-05-11
a4e6720f-6afe-43af-965b-c0f4c6acb8c3,4c29a887-c44a-4ee3-a92a-9b8b956444b1,用户培训结束，系统正式上线,100,用户培训结束，系统正,b766754e-983b-4b36-8462-e88db567ba4e,2024-03-01,,2024-02-28
22af0531-01ec-44c8-89ea-8fb4ab106ae8,555327ad-ce8a-4098-a0c3-19e249ba3c8f,项目启动会召开，完成团队组建,100,项目启动会召开，完成,b766754e-983b-4b36-8462-e88db567ba4e,2023-11-07,,2023-11-18
aef57c3e-5096-443d-8c57-54190ffe1b34,555327ad-ce8a-4098-a0c3-19e249ba3c8f,完成需求调研与方案设计评审,80,完成需求调研与方案设,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-09-21,,2024-05-28
9beb460e-299e-4f95-a114-871c25e178bf,555327ad-ce8a-4098-a0c3-19e249ba3c8f,完成系统开发与联调测试,90,完成系统开发与联调测,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-10-30,,2024-04-08
354372d3-97c1-400c-a8a5-b7fb1b63b76b,555327ad-ce8a-4098-a0c3-19e249ba3c8f,现场实施部署完成，初步验收通过,80,现场实施部署完成，初,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-11-05,,2023-09-08
bd7d9922-3717-49b1-b663-2835ac2fb2af,555327ad-ce8a-4098-a0c3-19e249ba3c8f,用户培训结束，系统正式上线,100,用户培训结束，系统正,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2023-10-09,,2023-06-18
005cdcc0-a23c-4cec-8546-d6c92850dc7e,40c382ee-04e3-4a49-8212-101c9c06815f,项目启动会召开，完成团队组建,90,项目启动会召开，完成,b766754e-983b-4b36-8462-e88db567ba4e,2023-05-17,,2024-05-30
a66e9461-fe3c-489f-8bf8-f8820311f8e7,40c382ee-04e3-4a49-8212-101c9c06815f,完成需求调研与方案设计评审,80,完成需求调研与方案设,b766754e-983b-4b36-8462-e88db567ba4e,2023-11-08,,2023-05-20
bd0f4a80-d168-4b8c-9993-b852d5261d49,40c382ee-04e3-4a49-8212-101c9c06815f,完成系统开发与联调测试,100,完成系统开发与联调测,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2024-05-20,,2023-06-06
980fcade-e93d-4657-bf66-cf4ff9bb0797,40c382ee-04e3-4a49-8212-101c9c06815f,现场实施部署完成，初步验收通过,100,现场实施部署完成，初,b766754e-983b-4b36-8462-e88db567ba4e,2024-01-26,,2024-01-13
e7a859ce-0726-4083-b6f2-31a40698e759,40c382ee-04e3-4a49-8212-101c9c06815f,用户培训结束，系统正式上线,100,用户培训结束，系统正,a1de5c3e-dba4-467d-8995-cdd1f0a68786,2024-03-09,,2023-06-02
